Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
0,Ravenclaw,Tamara,Hsu,2000-03-30,Left,2357,-487.88608595139016,5.727180298550763,4.8788608595139005,4.7219999999999995,272.0358314131986,532.4842261151226,5.231058287281048,1039.7882807428462,3.7903690663529614,0.7159391270136213,-232.79405,-26.89
1,Slytherin,Erich,Paredes,1999-10-14,Right,67239.0,-552.0605073421984,-5.987445780050746,5.520605073421985,-5.612,-487.3405572673422,367.7603030171392,4.107170286816076,1058.9445920642218,7.248741976146588,0.091674183916857,-252.18425,-113.45
2,Ravenclaw,Stephany,Braun,1999-11-03,Left,23702.0,-366.0761168823237,7.7250166064392305,3.6607611688232367,6.14,664.8935212343011,602.5852838484592,3.5555789956034967,1088.0883479121803,8.728530920939827,-0.5153268462809037,-227.34265,30.42
3,,Dee,Gavin,2001-05-10,Right,61831.0,407.2029277445324,4.962441602980879,,,-449.17980580026085,427.6999656113748,,1043.3977178876494,4.656572653588079,1.164707896993084,-244.0166,-11.15
4,,Gregory,Gustafson,1999-02-01,Right,,288.33774714151883,3.737655971167968,-2.883377471415188,4.886,-449.7321661455943,385.712782047816,2.8763465676859883,1051.3779355988024,2.750586103354796,0.10210440893148606,-243.99806,-7.12
5,,Katharine,Ebert,1998-09-25,Left,60888.0,-482.1390963522175,-7.327170322866657,4.821390963522175,-6.6110000000000015,-525.2725025237612,359.14817180301407,5.197858179249288,1070.7121427170061,10.032461125685584,-2.1852199688256664,-253.62839,-126.66
6,,Elizebeth,Clemens,1998-12-16,Left,46583.0,-488.04145290037286,4.276265977488614,4.880414529003729,4.916,408.92547374155805,633.7330020317315,3.5779424817589587,1046.2171724880452,7.922499688836782,-1.1784556822092844,-231.5856,32.67
7,,Santo,Simonson,1999-01-04,Left,42013.0,675.144047616016,4.024691099123406,-6.7514404761601625,5.1080000000000005,-590.514803881303,409.4206426135492,4.672595325050304,1056.701013197971,7.132861059425293,0.5631179851568311,-245.93425,13.45
8,,Rosalyn,Gee,1997-09-01,Left,27434.0,-508.7670008385748,7.146464798490754,5.087670008385747,4.586,512.8501336932145,591.5241863883227,3.12979163174824,1040.7342323213866,5.783287107300602,0.4193343687566451,-229.42604,60.88
9,,Karen,Skaggs,2001-08-11,Left,33500.0,319.88637170795175,6.55800346202798,-3.1988637170795178,2.652,-449.9265947720796,415.7346884705977,4.754587065505914,1036.4056167017625,5.773881664894601,-0.1840823112278276,-242.76836,46.29
10,,Mollie,Donohue,1999-07-07,Right,47320.0,838.6880444558478,7.307270573734564,-8.386880444558479,4.148,-461.48142984485037,350.3709178571412,1.7886372327735232,1049.3551372721263,1.582542749553446,-1.3043658663214417,-247.98054,38.54
11,,Filiberto,Beebe,2000-01-09,Left,46821.0,-592.840039725317,-5.193860230814356,5.92840039725317,-5.205,,392.49400336432143,4.430113403077925,1054.1707135953627,8.897999259725578,0.2026727152756092,-249.41488,-74.31
